Invoice #	Balance DueAmount Due	Zip Code
75871	220	38474
75874	75	88011
75879	2.35	38482
75892	10	37203
75906	480	37027
75919	417.46	27292
75990	210	37067
75994	540	38468
75996	41.52	38451
75997	20.77	38464
76006	33.39	38486
76009	107.78	38401
76057	790	87501
76062	181.73	37221
76076	2.96	37077
76077	7.38	38451
76087	353.44	37212
76090	59.72	37181
76091	12.69	37215
76113	260	37174
76143	41.52	37091
76153	41.52	38401
76199	640	87505
76200	40	37086
76203	7.51	37211
76204	30	37211
76227	155.28	37047
76254	242.38	37064
76302	220	37388
76304	275	38401
76308	220	38451
76309	220	38401
76363	325.36	37067
76413	128.91	35045
76437	290.99	38485
76475	11.95	37064
76476	41.24	37207
76480	118.31	37069
76530	275	38401
76531	41.52	37174
76534	11.66	37174
76539	20.74	37064
76569	101.56	35040
76599	18.49	37047
76600	35	37064
76604	59.72	37087
76657	360	75040
76685	25	37064
76739	120	37209
76740	18	37189
76741	8.94	37064
76762	104.92	38485
76764	350	37209
76816	350	37013
76817	207.61	38401
76823	207.61	37091
76824	207.61	38468
76829	207.61	38456
76832	40	35244
76844	75	81101
76851	212.38	37069
76852	92	37076
76915	152	37064
76928	263.18	35613
76931	120	37238
76932	150	38485
76969	75	87505
76992	275	37091
77008	130	37167
77027	70	11217
77028	18.62	37064
77037	175	87505
77038	135	87108
77039	75	87108
77046	50	37067
77047	7.43	37217
77048	9	37115
77119	305	37025
77327	209.07	38464
77329	104.54	37137
77344	209.07	38478
77425	3.78	58104
77436	187	36083
77522	277.64	37067
77632	323.92	38401
77728	209.07	38455
77733	23.14	37205
77734	23.14	38551
77749	60.14	37214
77750	27.35	37027
77777	410	80501
77781	880	87106
77813	76.53	37211
77814	120	37205
77816	15.31	37211
77835	770	37174
77866	520	78130
77876	4.79	37211
77877	75	37211
77882	75	87106
77899	209.07	38468
77901	275	38478
77903	275	37174
77904	41.81	38401
77907	220	38401
77909	145	78130
77915	211.17	37174
77918	90	37075
77920	30	37211
77921	12.01	37185
77931	40	11217
77939	705	87505
77942	275	37064
77961	231.41	37115
77962	470	38469
77969	160	37064
77970	271.34	37211
77991	410	87107
78015	112	75043
78041	31.35	37174
78043	84.13	38401
78046	220	38464
78047	168.11	38464
78049	41.81	38464
78051	38.81	37091
78057	114.42	38468
78058	220	38464
78059	62.72	38464
78061	220	38401
78072	75	87505
78089	680	"""07006"
78093	30.04	88240
78098	75	87107
78114	440	37174
78115	11.16	37146
78118	20.15	37014
78119	63.69	37221
78121	3.72	37334
78123	11.96	37204
78130	30	80501
78182	31.35	38469
78185	33.62	38464
78186	220	38401
78192	209.07	38462
78193	220	38464
78197	220	38401
78199	55	36804
78202	370	80504
78203	285	23602
78206	50	37211
78207	60.14	37043
78208	67.8	37075
78210	119.71	37205
78224	46.28	37355
78229	659	35022
78244	21.51	98363
78259	18.65	38469
78262	12.03	37207
78273	5.96	38464
78300	350	37091
78307	9.4	38469
78346	209.07	38462
78348	211.17	38483
78352	174	34275
78353	50	36832
78368	66.82	36830
78373	23.13	37212
78379	238.28	37127
78381	60	78132
78382	145.2	37075
78385	115.81	37027
78405	192	78132
78409	62.72	38462
78413	104.54	38464
78436	231.41	37062
78437	8.62	37209
78482	30	37221
78498	85.64	37069
78518	300	77389
78525	100	46914
78534	60.14	38474
78586	126.58	37069
78628	275	38451
78632	220	38469
78633	41.81	38401
78637	20.91	38474
78640	41.81	38401
78643	20.91	37091
78803	75	37162
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
